estimate,std_error,t_value,pr_t,year,exp_est,exp_diff_est
-0.0048161161746056065,0.006042419424454179,-0.7970509553034965,0.42542143847292335,-5,0.995195462717011,-0.004804537282989019
-0.009359780979027645,0.003057765544509801,-3.060987130237331,0.0022060857663868177,-4,0.9906838854287604,-0.009316114571239598
-0.007253809570216206,0.002729884144348974,-2.6571858682105733,0.007879598653821927,-3,0.9927724358084229,-0.007227564191577107
-0.005417350104623826,0.002143061409100933,-2.5278557495450102,0.011476149259471935,-2,0.9945972972745242,-0.0054027027254758275
-0.004876241247911334,0.0018210518353716095,-2.6777059022684395,0.00741282749362779,0,0.9951356283156536,-0.004864371684346391
-0.0033713200400745185,0.0024722246619619673,-1.3636786704485933,0.17266871996427,1,0.9966343564784198,-0.003365643521580197
-0.0028756717503639027,0.0028334668048788716,-1.0148951614369928,0.31015580491090394,2,0.9971284590331029,-0.0028715409668971237
-0.01105017729017169,0.003488992331410487,-3.167154364510873,0.0015393858141849925,3,0.9890106516558509,-0.010989348344149108
-0.013582060338195808,0.004492584181659444,-3.023217771554132,0.002501021938094652,4,0.986509759671601,-0.013490240328398961
-0.025293518905101228,0.006266530557143239,-4.0362874918513025,5.430366736447095e-5,5,0.9750236821398165,-0.024976317860183506
0,0,0,0,-1,0,0
