zip_code,hu11,is_gent,z_va,z_vb,z_vc,z_vt,z_311,zip_rsu10,zip_rsu21,zip_rsu_pc,GentrifyingOrNot,PercentageChange,pc
"10030","11952","1","9817","22863","9707","42387","4082","5348","4122","-0.22924457741211668",Gentrifying,"-22.92445774121167","-23"
"10031","24753","1","26738","66568","29754","123060","8779","11114","9065","-0.18436206586287565",Gentrifying,"-18.436206586287565","-18"
"10033","19509","1","17781","44488","21024","83293","5436","13917","11784","-0.1532657900409571",Gentrifying,"-15.326579004095711","-15"
"10303","9399","0","2404","6125","2102","10631","3025","230","181","-0.21304347826086956",Non-Gentrifying,"-21.304347826086957","-21"
"10457","22646","1","31141","82568","34429","148138","8179","14302","13594","-0.04950356593483428",Gentrifying,"-4.950356593483428","-5"
"10463","26026","0","10283","25721","10672","46676","6369","11256","9974","-0.11389481165600568",Non-Gentrifying,"-11.389481165600568","-11"
"10467","29578","0","29655","73613","30643","133911","10816","19943","18176","-0.08860251717394574",Non-Gentrifying,"-8.860251717394574","-9"
"10473","18612","0","3992","9557","3616","17165","4583","2885","2716","-0.058578856152513",Non-Gentrifying,"-5.8578856152513","-6"
"11233","31667","1","21659","51867","24633","98159","9777","4216","3845","-0.08799810246679317",Gentrifying,"-8.799810246679316","-9"
"11237","19383","1","17044","36391","16778","70213","7889","5448","1199","-0.7799192364170338",Gentrifying,"-77.99192364170338","-78"
"11375","30385","1","2726","5142","1598","9466","6921","7219","5586","-0.2262086161518216",Gentrifying,"-22.62086161518216","-23"
"11377","24722","1","5139","9663","3839","18641","9710","9175","7101","-0.2260490463215259",Gentrifying,"-22.60490463215259","-23"
"11413","14843","1","605","3560","1487","5652","5059","96","101","0.05208333333333333",Gentrifying,"5.208333333333333","5"
"11414","5952","0","702","1000","387","2089","4245","96","54","-0.4375",Non-Gentrifying,"-43.75","-44"
"11415","6127","1","1501","3443","1125","6069","2706","3204","2626","-0.18039950062421972",Gentrifying,"-18.039950062421973","-18"
"11418","12932","1","2047","4888","1877","8812","6880","1535","1506","-0.01889250814332247",Gentrifying,"-1.889250814332247","-2"
"11420","14265","1","900","4062","1628","6590","10752","164","149","-0.09146341463414634",Gentrifying,"-9.146341463414634","-9"
"11427","5658","1","412","1489","358","2259","3100","1470","1466","-0.00272108843537414",Gentrifying,"-0.272108843537414","0"
"11433","9361","1","1935","7164","2924","12023","6063","369","369","0",Gentrifying,"0","0"
"11434","12131","0","1702","6921","2490","11113","6729","450","440","-0.02222222222222222",Non-Gentrifying,"-2.222222222222222","-2"
"11692","4288","0","2279","5245","1979","9503","2352","26","26","0",Non-Gentrifying,"0","0"
